sample_id	species	bioproject	tissue	condition	replicate	layout	r1	r2	salmon_index	canary	analysis_group	co2	water	dehydration_stage	design_cell
SRR39669468	setaria_viridis	PRJNA1496374	Root	ambient CO2, control well-watered, biological replicate 3	3	paired	data/fastq/SRR39669468_1.fastq.gz	data/fastq/SRR39669468_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	well_watered	control	ambient:control
SRR39669469	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 1, biological replicate 1	1	paired	data/fastq/SRR39669469_1.fastq.gz	data/fastq/SRR39669469_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_1	ambient:cycle_1
SRR39669470	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 1, biological replicate 2	2	paired	data/fastq/SRR39669470_1.fastq.gz	data/fastq/SRR39669470_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_1	ambient:cycle_1
SRR39669471	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 1, biological replicate 3	3	paired	data/fastq/SRR39669471_1.fastq.gz	data/fastq/SRR39669471_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_1	ambient:cycle_1
SRR39669472	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 3, biological replicate 1	1	paired	data/fastq/SRR39669472_1.fastq.gz	data/fastq/SRR39669472_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_3	ambient:cycle_3
SRR39669473	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 3, biological replicate 2	2	paired	data/fastq/SRR39669473_1.fastq.gz	data/fastq/SRR39669473_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_3	ambient:cycle_3
SRR39669474	setaria_viridis	PRJNA1496374	Root	ambient CO2, dehydration cycle 3, biological replicate 3	3	paired	data/fastq/SRR39669474_1.fastq.gz	data/fastq/SRR39669474_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	ambient	dehydration	cycle_3	ambient:cycle_3
SRR39669475	setaria_viridis	PRJNA1496374	Root	elevated CO2, control well-watered, biological replicate 1	1	paired	data/fastq/SRR39669475_1.fastq.gz	data/fastq/SRR39669475_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	well_watered	control	elevated:control
SRR39669460	setaria_viridis	PRJNA1496374	Root	elevated CO2, control well-watered, biological replicate 2	2	paired	data/fastq/SRR39669460_1.fastq.gz	data/fastq/SRR39669460_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	well_watered	control	elevated:control
SRR39669461	setaria_viridis	PRJNA1496374	Root	elevated CO2, control well-watered, biological replicate 3	3	paired	data/fastq/SRR39669461_1.fastq.gz	data/fastq/SRR39669461_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	well_watered	control	elevated:control
SRR39669462	setaria_viridis	PRJNA1496374	Root	elevated CO2, dehydration cycle 1, biological replicate 1	1	paired	data/fastq/SRR39669462_1.fastq.gz	data/fastq/SRR39669462_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	dehydration	cycle_1	elevated:cycle_1
SRR39669463	setaria_viridis	PRJNA1496374	Root	elevated CO2, dehydration cycle 1, biological replicate 2	2	paired	data/fastq/SRR39669463_1.fastq.gz	data/fastq/SRR39669463_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	dehydration	cycle_1	elevated:cycle_1
SRR39669464	setaria_viridis	PRJNA1496374	Root	elevated CO2, dehydration cycle 1, biological replicate 3	3	paired	data/fastq/SRR39669464_1.fastq.gz	data/fastq/SRR39669464_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	dehydration	cycle_1	elevated:cycle_1
SRR39669465	setaria_viridis	PRJNA1496374	Root	elevated CO2, dehydration cycle 3, biological replicate 1	1	paired	data/fastq/SRR39669465_1.fastq.gz	data/fastq/SRR39669465_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	dehydration	cycle_3	elevated:cycle_3
SRR39669466	setaria_viridis	PRJNA1496374	Root	elevated CO2, dehydration cycle 3, biological replicate 2	2	paired	data/fastq/SRR39669466_1.fastq.gz	data/fastq/SRR39669466_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	dehydration	cycle_3	elevated:cycle_3
SRR39669467	setaria_viridis	PRJNA1496374	Root	elevated CO2, dehydration cycle 3, biological replicate 3	3	paired	data/fastq/SRR39669467_1.fastq.gz	data/fastq/SRR39669467_2.fastq.gz	results/rnaseq/setaria_viridis/index	false	setaria_prjna1496374	elevated	dehydration	cycle_3	elevated:cycle_3
